n° heure;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;
1;19.80;15.04;13.86;15.58;42.77;24.00;24.98;18.20;20.27;19.62;
2;20.48;13.22;11.16;15.56;40.38;21.56;19.94;17.70;20.50;16.39;
3;20.41;13.37;7.60;11.29;24.10;17.47;17.98;16.63;21.05;15.54;
4;14.34;10.03;7.54;8.45;11.44;16.18;13.45;15.34;15.79;18.48;
5;5.07;3.90;7.54;8.45;12.13;15.97;15.62;15.39;13.48;16.81;
6;19.79;13.52;13.46;15.53;11.97;18.45;15.90;15.39;16.82;17.40;
7;17.32;16.71;21.70;26.88;11.91;24.26;17.14;21.98;22.20;21.09;
8;22.27;30.08;31.77;37.68;11.88;39.74;35.49;34.82;28.47;33.06;
9;24.75;41.77;33.13;37.16;11.97;36.58;30.42;32.89;27.18;37.81;
10;34.65;44.63;38.92;37.20;14.57;37.46;37.85;34.82;29.11;37.98;
11;37.12;43.00;39.25;37.94;28.32;36.77;39.88;34.71;28.43;39.06;
12;36.50;43.94;40.68;39.27;34.26;36.42;38.53;41.54;30.14;38.65;
13;35.27;42.02;39.17;37.16;43.45;35.88;37.82;32.09;29.35;34.05;
14;35.27;35.33;39.08;37.24;30.99;35.38;36.84;29.18;27.63;32.55;
15;34.65;35.34;39.35;36.09;14.57;34.71;34.47;25.58;27.92;33.35;
16;36.50;33.43;38.80;34.33;11.85;28.05;26.55;26.27;27.84;32.86;
17;37.12;34.91;35.92;36.06;14.70;33.66;37.43;33.48;38.95;34.83;
18;41.45;43.45;44.78;43.39;41.75;40.03;37.70;63.67;42.61;39.98;
19;48.88;46.79;43.87;43.41;51.83;41.96;42.76;66.03;66.67;48.60;
20;40.22;43.96;38.10;39.26;55.04;39.78;39.96;47.77;48.57;43.06;
21;35.27;34.38;40.42;37.17;51.75;34.53;38.87;27.25;42.27;37.81;
22;29.08;30.58;35.88;29.99;47.59;26.52;32.11;29.47;33.99;33.61;
23;49.51;30.08;33.29;33.06;56.36;27.57;31.75;22.83;34.01;23.11;
24;31.00;27.22;31.43;28.55;51.11;23.79;23.24;23.67;33.45;20.99;
25;22.26;20.54;40.07;20.51;24.39;27.71;25.11;22.33;20.28;25.38;
26;22.52;21.25;29.39;19.63;19.86;26.96;24.59;18.18;20.84;22.21;
27;23.11;21.18;31.43;19.63;19.86;26.97;23.87;18.18;19.86;21.84;
28;17.34;14.87;22.92;16.70;19.86;25.47;20.45;18.18;18.84;20.00;
29;14.81;5.25;21.77;12.80;16.18;19.46;19.27;14.81;17.64;16.96;
30;18.47;20.54;26.49;15.67;20.90;25.23;19.36;19.13;14.92;20.44;
31;24.38;17.97;33.57;19.58;19.44;25.99;26.96;17.80;13.90;23.77;
32;31.27;23.11;46.36;25.91;38.88;35.95;32.85;35.59;27.13;29.60;
33;29.85;25.68;46.70;27.79;46.65;35.20;33.56;42.70;31.54;31.02;
34;31.97;35.95;49.98;29.29;49.57;36.13;37.55;45.37;37.06;36.66;
35;31.22;38.51;50.41;29.65;48.11;37.48;39.51;44.03;36.96;36.56;
36;33.10;37.87;49.16;29.15;44.37;37.45;39.47;40.61;41.96;33.83;
37;32.23;36.59;49.83;31.62;44.71;36.32;40.52;40.92;41.97;32.42;
38;30.35;36.59;45.10;31.21;45.19;35.35;35.71;41.36;40.39;31.02;
39;30.67;35.95;42.43;27.88;38.87;33.49;32.88;35.58;39.54;28.90;
40;30.58;37.87;36.97;25.84;37.90;29.68;29.56;34.69;37.70;28.55;
41;42.77;38.51;38.28;29.39;41.95;34.45;31.46;38.39;49.11;30.31;
42;46.79;43.01;51.34;34.35;49.57;39.70;41.42;45.37;48.52;45.90;
43;73.22;50.71;55.18;36.11;52.48;42.05;41.37;48.03;125.93;74.08;
44;53.34;41.72;51.77;32.91;51.09;41.18;33.58;46.76;67.84;37.02;
45;46.43;36.59;49.36;35.32;35.64;37.57;29.22;32.62;32.70;33.81;
46;37.33;30.17;43.64;32.38;28.19;34.45;27.68;25.80;31.04;30.67;
47;37.35;51.37;44.86;28.05;27.22;36.14;30.65;24.91;26.98;28.20;
48;36.74;32.16;39.05;26.08;24.79;29.21;31.52;22.69;25.44;25.37;
49;28.96;22.14;27.40;31.81;28.73;19.33;25.72;27.86;29.91;28.92;
50;26.44;21.33;22.74;28.66;27.34;18.09;22.60;25.10;22.68;26.05;
51;20.15;20.17;22.66;25.05;23.38;16.58;22.21;21.94;20.89;22.77;
52;14.61;16.79;22.15;20.53;21.17;15.19;20.47;17.98;10.85;18.66;
53;1.31;15.19;22.15;9.82;19.20;11.04;19.40;8.60;9.70;8.93;
54;12.60;15.68;19.82;16.95;22.30;16.29;18.03;14.85;9.22;15.41;
55;16.37;16.11;20.40;14.27;23.19;13.81;19.08;12.50;9.88;12.97;
56;20.16;16.42;31.48;25.86;28.94;21.52;23.69;22.65;15.97;23.51;
57;30.73;17.52;37.31;27.66;30.66;33.95;25.72;24.23;16.99;25.15;
58;40.28;20.69;40.22;28.93;34.00;37.82;28.23;25.34;38.74;26.30;
59;40.28;21.52;46.63;33.02;33.60;43.47;31.48;28.92;41.68;30.02;
60;40.28;22.20;44.29;34.80;32.46;44.71;30.87;30.48;42.59;31.64;
61;44.06;21.89;41.96;35.71;31.67;45.68;34.08;31.27;53.33;32.46;
62;41.53;22.08;38.55;34.80;28.37;43.19;29.46;30.47;48.54;31.63;
63;30.50;21.59;38.55;33.89;26.68;38.65;26.26;29.68;39.92;30.81;
64;30.74;22.14;38.47;32.17;22.08;33.39;23.71;28.17;34.83;29.24;
65;29.93;20.69;38.52;29.08;22.66;12.66;27.32;25.47;28.07;26.43;
66;40.28;28.90;43.08;37.49;28.52;44.71;32.36;32.83;48.41;34.07;
67;46.57;28.90;54.21;39.95;34.66;49.41;37.72;34.99;58.21;36.32;
68;46.15;30.77;58.87;38.36;33.30;47.47;36.67;33.60;57.52;34.87;
69;37.22;29.58;52.45;36.57;29.43;45.12;33.46;32.03;50.98;33.24;
70;27.71;23.85;44.29;30.36;27.42;35.88;28.87;26.59;44.95;27.59;
71;30.22;29.58;38.55;30.36;30.66;34.51;31.69;26.59;54.56;27.60;
72;29.84;25.83;31.80;30.34;30.22;26.23;32.48;26.57;48.16;27.58;
73;21.36;28.40;31.02;24.51;21.23;30.61;24.47;22.19;30.52;26.80;
74;21.35;25.88;35.87;22.62;21.23;30.33;28.29;20.12;28.48;26.83;
75;21.35;23.18;23.81;22.66;21.23;27.80;18.78;17.56;25.95;26.79;
76;14.52;17.74;10.27;17.02;14.44;22.26;8.10;14.63;20.85;18.68;
77;14.09;12.11;7.78;12.84;14.01;14.47;6.14;7.31;20.85;12.94;
78;11.53;7.75;8.01;10.22;11.46;16.70;6.31;12.80;20.31;9.70;
79;7.58;8.90;6.94;5.62;7.54;5.73;5.47;9.14;19.33;6.27;
80;13.69;10.53;6.98;5.62;13.61;9.62;5.50;16.16;23.42;6.29;
81;16.38;12.13;9.53;14.30;16.29;18.25;7.51;19.21;27.26;6.27;
82;19.65;17.34;25.60;20.42;19.53;25.05;20.19;22.01;28.50;9.70;
83;21.78;21.74;32.39;24.51;21.66;30.67;25.55;25.73;31.02;16.17;
84;23.92;22.55;36.27;27.23;23.78;31.74;28.60;27.13;32.57;27.48;
85;24.77;25.12;38.72;27.23;24.63;33.92;30.53;26.77;32.59;27.48;
86;24.43;19.17;34.05;24.51;24.29;33.91;26.86;25.30;29.03;24.40;
87;23.49;16.04;30.25;22.46;23.35;31.68;23.86;22.68;25.97;23.58;
88;21.57;12.26;26.89;18.38;21.44;25.61;21.21;20.77;25.39;25.05;
89;21.36;11.35;22.50;16.34;21.23;25.40;17.74;21.07;25.25;22.62;
90;27.35;22.45;38.96;26.55;27.19;33.92;30.72;29.87;31.53;31.32;
91;34.17;28.50;44.04;36.07;33.97;39.51;34.73;35.36;39.66;48.26;
92;36.75;28.55;45.70;36.75;36.53;39.48;36.04;34.75;39.64;50.10;
93;38.44;28.93;39.64;36.75;38.21;38.39;31.26;34.74;34.58;41.02;
94;38.91;23.30;32.10;32.66;38.68;32.24;25.31;32.00;31.51;40.57;
95;32.70;26.15;38.35;38.79;32.51;33.90;30.25;29.38;32.59;32.33;
96;20.50;24.00;34.82;36.75;20.38;30.02;27.46;25.91;28.52;26.92;
97;23.50;24.40;24.10;13.71;20.56;20.61;18.09;20.00;29.94;30.24;
98;22.85;24.07;23.05;15.23;17.17;22.24;20.05;20.56;28.61;29.83;
99;22.25;23.38;22.73;13.71;16.29;21.64;16.79;19.59;26.60;28.98;
100;17.73;17.32;20.50;12.18;19.37;12.92;14.21;18.58;17.91;21.47;
101;21.39;15.74;19.85;11.06;17.61;10.81;4.26;17.40;9.29;19.51;
102;24.45;23.38;22.57;15.23;18.23;14.40;15.50;14.72;25.92;28.98;
103;27.50;28.79;30.13;17.08;22.10;19.81;23.25;13.72;37.25;35.68;
104;44.82;33.61;37.14;30.46;34.65;31.95;38.38;26.76;53.17;41.66;
105;40.65;34.35;37.32;41.56;39.63;38.71;42.49;31.11;55.82;42.57;
106;45.12;33.99;38.06;39.59;39.80;45.21;42.71;36.55;56.06;42.13;
107;44.41;35.49;37.54;39.59;40.94;48.73;43.08;36.46;56.78;43.99;
108;45.02;35.51;37.90;40.13;40.50;49.63;42.58;41.39;53.89;44.02;
109;40.74;35.88;38.16;38.07;35.68;50.39;38.75;41.39;54.50;44.47;
110;40.74;35.24;37.10;42.12;34.11;44.36;37.20;39.84;53.19;43.67;
111;37.70;34.06;34.98;36.54;34.95;41.15;33.58;39.00;50.56;42.21;
