Production (MWh);hauteur de chute nette (m);;;;;;;;;;;;;;;;
Q (m3/s);0.0;786000;1703000;2740000;3907000;5197000;6621000;8205000;9946000;11861000;13993500;16270000;18751000;21359000;24090730.77;24200000;
0.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0.5;5.44;5.51;5.59;5.67;5.75;5.83;5.91;5.97;6.03;6.05;6.07;6.15;6.23;6.27;6.32;6.32;
1.0;10.89;11.02;11.18;11.34;11.50;11.66;11.81;11.93;12.05;12.10;12.14;12.30;12.47;12.55;12.63;12.64;
1.5;16.33;16.52;16.77;17.01;17.25;17.50;17.74;17.94;18.15;18.24;18.33;18.52;18.70;18.84;18.98;18.99;
2.0;22.95;23.21;23.54;23.87;24.20;24.45;24.70;24.96;25.23;25.39;25.55;25.75;25.96;26.18;26.39;26.40;
2.5;29.30;29.67;30.14;30.60;31.07;31.35;31.63;31.97;32.31;32.52;32.73;32.97;33.21;33.47;33.72;33.73;
3.0;35.74;36.16;36.69;37.21;37.73;38.07;38.40;38.73;39.07;39.40;39.74;40.02;40.31;40.59;40.87;40.88;
3.5;42.34;42.74;43.25;43.75;44.26;44.65;45.04;45.45;45.87;46.20;46.53;46.87;47.20;47.52;47.84;47.85;
4.0;48.93;49.31;49.78;50.26;50.73;51.12;51.51;51.96;52.41;52.80;53.19;53.59;54.00;54.36;54.71;54.73;
4.5;55.25;55.61;56.06;56.51;56.96;57.45;57.95;58.42;58.88;59.27;59.66;60.16;60.67;61.06;61.45;61.47;
5.0;61.37;61.75;62.23;62.71;63.19;63.68;64.17;64.66;65.14;65.64;66.13;66.65;67.16;67.64;68.11;68.13;
5.5;67.15;67.59;68.13;68.67;69.21;69.74;70.28;70.83;71.38;71.87;72.36;72.95;73.54;74.04;74.53;74.55;
6.0;72.30;72.85;73.54;74.23;74.92;75.49;76.05;76.73;77.42;77.99;78.57;79.19;79.80;80.37;80.94;80.96;
6.1;73.61;74.15;74.81;75.48;76.14;76.62;77.09;77.85;78.61;79.20;79.79;80.40;81.01;81.60;82.19;82.22;
6.2;;;;;;;78.13;78.97;79.80;80.39;80.98;81.59;82.21;82.83;83.45;83.47;
6.3;;;;;;;;;;;82.16;82.79;83.42;84.07;84.72;84.75;
6.4;;;;;;;;;;;;;;;;86.02
