Production (MWh);hauteur de chute nette (m);
Q (m3/s);0.0;129000;610000;1425000;2795000;4535000;6565000;
0.0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
0.5;0.07;0.08;0.08;0.09;0.09;0.09;0.10;
1.0;0.30;0.31;0.32;0.34;0.36;0.38;0.38;
1.5;0.66;0.69;0.73;0.77;0.81;0.85;0.86;
2.0;1.18;1.22;1.29;1.37;1.43;1.50;1.53;
2.5;1.83;1.90;2.02;2.13;2.23;2.34;2.39;
3.0;2.63;2.73;2.89;3.05;3.20;3.36;3.44;
3.5;3.57;3.70;3.92;4.14;4.34;4.55;4.66;
4.0;4.63;4.81;5.10;5.38;5.65;5.92;6.06;
4.5;5.83;6.05;6.41;6.78;7.11;7.46;7.64;
5.0;7.15;7.42;7.87;8.32;8.73;9.16;9.38;
5.5;7.97;8.27;8.78;9.28;9.75;10.20;10.54;
6.0;8.79;9.13;9.70;10.26;10.77;11.25;11.67;
6.5;9.60;9.97;10.59;11.21;11.79;12.33;12.81;
7.0;10.40;10.81;11.49;12.16;12.79;13.42;13.95;
7.5;11.14;11.58;12.32;13.05;13.74;14.49;15.04;
8.0;11.84;12.31;13.10;13.89;14.67;15.49;16.10;
8.5;12.44;12.94;13.79;14.63;15.47;16.33;17.06;
9.0;12.91;13.44;14.33;15.21;16.14;17.04;17.91;
9.5;13.25;13.80;14.72;15.65;16.65;17.63;18.60;
10.0;13.44;14.01;14.96;15.91;17.03;18.12;19.15;
10.5;13.42;14.00;14.96;15.93;17.20;18.38;19.46;
11.0;13.37;13.96;14.94;15.92;17.21;18.42;19.66;
