Q (m3/s);Production (MWh);
0.0;0.00;
0.5;0.18;
1.0;0.70;
1.5;1.58;
2.0;2.80;
2.5;4.37;
3.0;6.29;
3.5;8.55;
4.0;11.16;
4.5;14.10;
5.0;17.39;
5.5;19.97;
6.0;22.70;
6.5;24.89;
7.0;27.12;
7.5;29.37;
8.0;31.66;
8.5;33.84;
9.0;36.05;
9.5;38.02;
10.0;39.98;
10.5;41.83;
11.0;43.68;
11.5;45.44;
12.0;47.18;
12.5;48.70;
13.0;50.18;
13.5;52.11;
14.0;54.00;
14.5;56.21;
15.0;58.44;
15.5;60.68;
16.0;62.94;
16.5;65.21;
17.0;67.50;
17.5;69.53;
18.0;71.55;
18.5;73.50;
19.0;75.44;
19.5;77.33;
20.0;79.21;
20.5;81.03;
21.0;82.85;
21.5;84.61;
22.0;86.35;
22.5;88.06;
23.0;89.75;
23.5;91.41;
24.0;93.06;
24.5;94.51;
25.0;95.94;
25.5;97.35;
26.0;98.73;
